text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
DNA;10000;false;100;Naive;45860;13431
DNA;10000;false;100;KMP (Standard Borders);36062;13478
DNA;10000;false;100;KMP (Precise Borders);35507;13433
DNA;10000;false;200;Naive;45520;13541
DNA;10000;false;200;KMP (Standard Borders);36238;13684
DNA;10000;false;200;KMP (Precise Borders);36408;13727
DNA;10000;false;300;Naive;45517;13633
DNA;10000;false;300;KMP (Standard Borders);36407;13868
DNA;10000;false;300;KMP (Precise Borders);36693;13985
DNA;10000;false;400;Naive;45516;13734
DNA;10000;false;400;KMP (Standard Borders);36553;14066
DNA;10000;false;400;KMP (Precise Borders);37429;14266
DNA;10000;false;500;Naive;46179;13821
DNA;10000;false;500;KMP (Standard Borders);37270;14257
DNA;10000;false;500;KMP (Precise Borders);38186;14584
DNA;10000;false;600;Naive;46815;13932
DNA;10000;false;600;KMP (Standard Borders);38286;14477
DNA;10000;false;600;KMP (Precise Borders);39634;14929
DNA;10000;false;700;Naive;45843;14039
DNA;10000;false;700;KMP (Standard Borders);37454;14683
DNA;10000;false;700;KMP (Precise Borders);39330;15189
DNA;10000;false;800;Naive;46024;14140
DNA;10000;false;800;KMP (Standard Borders);37770;14880
DNA;10000;false;800;KMP (Precise Borders);40115;15485
DNA;10000;false;900;Naive;46004;14223
DNA;10000;false;900;KMP (Standard Borders);38139;15061
DNA;10000;false;900;KMP (Precise Borders);40820;15769
DNA;10000;false;1000;Naive;46358;14337
DNA;10000;false;1000;KMP (Standard Borders);38565;15274
DNA;10000;false;1000;KMP (Precise Borders);41893;16058
DNA;10000;false;1100;Naive;46334;14434
DNA;10000;false;1100;KMP (Standard Borders);38704;15472
DNA;10000;false;1100;KMP (Precise Borders);42344;16341
DNA;10000;false;1200;Naive;46600;14537
DNA;10000;false;1200;KMP (Standard Borders);39134;15678
DNA;10000;false;1200;KMP (Precise Borders);43163;16676
DNA;10000;false;1300;Naive;46887;14642
DNA;10000;false;1300;KMP (Standard Borders);39532;15885
DNA;10000;false;1300;KMP (Precise Borders);44016;16993
DNA;10000;false;1400;Naive;46930;14738
DNA;10000;false;1400;KMP (Standard Borders);39752;16079
DNA;10000;false;1400;KMP (Precise Borders);44821;17279
DNA;10000;false;1500;Naive;47075;14830
DNA;10000;false;1500;KMP (Standard Borders);40163;16273
DNA;10000;false;1500;KMP (Precise Borders);45464;17590
DNA;10000;false;1600;Naive;47222;14931
DNA;10000;false;1600;KMP (Standard Borders);40399;16469
DNA;10000;false;1600;KMP (Precise Borders);46411;17826
DNA;10000;false;1700;Naive;47172;15028
DNA;10000;false;1700;KMP (Standard Borders);40545;16663
DNA;10000;false;1700;KMP (Precise Borders);46683;18138
DNA;10000;false;1800;Naive;47343;15129
DNA;10000;false;1800;KMP (Standard Borders);40909;16860
DNA;10000;false;1800;KMP (Precise Borders);47398;18440
DNA;10000;false;1900;Naive;47822;15233
DNA;10000;false;1900;KMP (Standard Borders);41588;17075
DNA;10000;false;1900;KMP (Precise Borders);48566;18769
DNA;10000;false;2000;Naive;47846;15317
DNA;10000;false;2000;KMP (Standard Borders);41925;17265
DNA;10000;false;2000;KMP (Precise Borders);49162;19094
DNA;10000;false;2100;Naive;48126;15433
DNA;10000;false;2100;KMP (Standard Borders);42280;17475
DNA;10000;false;2100;KMP (Precise Borders);50121;19360
DNA;10000;false;2200;Naive;48132;15534
DNA;10000;false;2200;KMP (Standard Borders);42462;17675
DNA;10000;false;2200;KMP (Precise Borders);50656;19703
DNA;10000;false;2300;Naive;48398;15640
DNA;10000;false;2300;KMP (Standard Borders);42961;17883
DNA;10000;false;2300;KMP (Precise Borders);51580;20008
DNA;10000;false;2400;Naive;48501;15721
DNA;10000;false;2400;KMP (Standard Borders);43127;18059
DNA;10000;false;2400;KMP (Precise Borders);51993;20307
DNA;10000;false;2500;Naive;48764;15837
DNA;10000;false;2500;KMP (Standard Borders);43567;18281
DNA;10000;false;2500;KMP (Precise Borders);52984;20593
DNA;10000;false;2600;Naive;48694;15944
DNA;10000;false;2600;KMP (Standard Borders);43663;18471
DNA;10000;false;2600;KMP (Precise Borders);53348;20749
DNA;10000;false;2700;Naive;49044;16039
DNA;10000;false;2700;KMP (Standard Borders);44131;18686
DNA;10000;false;2700;KMP (Precise Borders);54375;21192
